sim_id,makespan,total_penalty,late_harvests,status,error
404,,,,ERROR,Unable to retrieve attribute 'X'
405,41.0,20.99999723410069,7.0,OK,
406,41.0,24.74999615253398,6.0,OK,
407,41.0,24.749998158545882,6.0,OK,
408,,,,ERROR,Unable to retrieve attribute 'X'
409,,,,ERROR,Unable to retrieve attribute 'X'
410,40.0,20.2499978870836,15.0,OK,
411,,,,ERROR,Unable to retrieve attribute 'X'
412,41.0,20.99999791894563,6.0,OK,
413,41.0,28.49999723775232,6.0,OK,
414,,,,ERROR,Unable to retrieve attribute 'X'
415,41.0,34.499996773509295,6.0,OK,
416,,,,ERROR,Unable to retrieve attribute 'X'
417,41.0,27.74999892953363,6.0,OK,
418,41.0,24.749996400718246,5.0,OK,
419,,,,ERROR,Unable to retrieve attribute 'X'
420,41.0,18.749999443384908,5.0,OK,
421,,,,ERROR,Unable to retrieve attribute 'X'
422,41.0,22.499997694216347,5.0,OK,
423,41.0,22.499997698182348,4.0,OK,
424,,,,ERROR,Unable to retrieve attribute 'X'
425,,,,ERROR,Unable to retrieve attribute 'X'
426,,,,ERROR,Unable to retrieve attribute 'X'
427,,,,ERROR,Unable to retrieve attribute 'X'
428,,,,ERROR,Unable to retrieve attribute 'X'
429,41.0,19.499998149250555,5.0,OK,
430,41.0,26.249999317340787,7.0,OK,
431,42.0,29.249997542239832,4.0,OK,
432,41.0,23.999998341796594,5.0,OK,
433,41.0,23.249996778027885,5.0,OK,
434,,,,ERROR,Unable to retrieve attribute 'X'
435,41.0,26.24999907927294,6.0,OK,
436,40.0,17.99999769446422,10.0,OK,
437,,,,ERROR,Unable to retrieve attribute 'X'
438,,,,ERROR,Unable to retrieve attribute 'X'
439,40.0,20.99999815854588,10.0,OK,
440,41.0,27.74999861890941,6.0,OK,
441,41.0,31.499998607366404,8.0,OK,
442,,,,ERROR,Unable to retrieve attribute 'X'
443,,,,ERROR,Unable to retrieve attribute 'X'
444,,,,ERROR,Unable to retrieve attribute 'X'
445,,,,ERROR,Unable to retrieve attribute 'X'
446,,,,ERROR,Unable to retrieve attribute 'X'
447,,,,ERROR,Unable to retrieve attribute 'X'
448,,,,ERROR,Unable to retrieve attribute 'X'
449,,,,ERROR,Unable to retrieve attribute 'X'
450,41.0,20.249996622286822,4.0,OK,
451,,,,ERROR,Unable to retrieve attribute 'X'
452,41.0,22.49999861519128,7.0,OK,
453,41.0,26.24999950448434,6.0,OK,
454,40.0,16.499998884427445,10.0,OK,
455,40.0,18.74999953963647,12.0,OK,
456,,,,ERROR,Unable to retrieve attribute 'X'
457,40.999999799999856,27.0,5.0,OK,
458,40.0,18.74999815854588,11.0,OK,
459,41.0,23.99999815854588,5.0,OK,
460,41.0,26.24999861890941,6.0,OK,
461,41.0,26.999998754868468,7.0,OK,
462,,,,ERROR,Unable to retrieve attribute 'X'
463,,,,ERROR,Unable to retrieve attribute 'X'
464,,,,ERROR,Unable to retrieve attribute 'X'
465,40.0,19.499999076794186,7.0,OK,
466,41.0,18.749999241047636,5.0,OK,
467,,,,ERROR,Unable to retrieve attribute 'X'
468,,,,ERROR,Unable to retrieve attribute 'X'
469,,,,ERROR,Unable to retrieve attribute 'X'
470,,,,ERROR,Unable to retrieve attribute 'X'
471,41.0,20.99999711782554,5.0,OK,
472,41.0,35.24999907927294,9.0,OK,
473,40.0,21.749998082492183,12.0,OK,
474,41.0,25.499999206037117,7.0,OK,
475,,,,ERROR,Unable to retrieve attribute 'X'
476,,,,ERROR,Unable to retrieve attribute 'X'
477,41.0,27.74999861147315,8.0,OK,
478,40.0,17.249997853746436,10.0,OK,
479,,,,ERROR,Unable to retrieve attribute 'X'
480,40.0,20.99999723410069,11.0,OK,
481,41.0,24.74999828356987,7.0,OK,
482,41.0,24.7499982817217,7.0,OK,
483,,,,ERROR,Unable to retrieve attribute 'X'
484,41.0,34.499998618909416,7.0,OK,
485,41.0,23.24999861519128,6.0,OK,
486,42.0,30.74999815854588,4.0,OK,
487,41.0,27.74999723410069,7.0,OK,
488,41.0,22.499999880622596,9.0,OK,
489,41.0,23.99999907927294,7.0,OK,
490,,,,ERROR,Unable to retrieve attribute 'X'
491,40.0,18.749994694584167,12.0,OK,
492,,,,ERROR,Unable to retrieve attribute 'X'
493,,,,ERROR,Unable to retrieve attribute 'X'
494,40.0,23.24999815854588,12.0,OK,
495,42.0,31.499997331682366,6.0,OK,
496,41.0,18.74999953668336,5.0,OK,
497,41.0,25.499992440510177,6.0,OK,
498,,,,ERROR,Unable to retrieve attribute 'X'
499,41.0,22.499998251209938,5.0,OK,
500,,,,ERROR,Unable to retrieve attribute 'X'
501,41.0,23.24999887833514,5.0,OK,
502,41.0,22.49999907927294,6.0,OK,
503,41.0,26.249997694464223,7.0,OK,
504,,,,ERROR,Unable to retrieve attribute 'X'
505,41.0,23.249995891939236,7.0,OK,
506,41.0,26.249995392479754,6.0,OK,
507,41.0,24.749998612712524,6.0,OK,
508,,,,ERROR,Unable to retrieve attribute 'X'
509,40.0,24.749997286878315,13.0,OK,
510,40.0,24.74999861515803,12.0,OK,
511,40.0,18.74998681028135,11.0,OK,
512,40.0,24.74999815557138,10.0,OK,
513,,,,ERROR,Unable to retrieve attribute 'X'
514,40.0,16.49999861147315,11.0,OK,
515,,,,ERROR,Unable to retrieve attribute 'X'
516,41.0,20.999998158545882,4.0,OK,
517,41.0,23.99999907555481,7.0,OK,
518,41.0,26.249994011195426,7.0,OK,
519,41.0,23.24999847047539,5.0,OK,
520,40.0,21.74999861519128,12.0,OK,
521,,,,ERROR,Unable to retrieve attribute 'X'
522,41.0,24.749997698182348,5.0,OK,
